quarter,company,company_name,net_sales_ytd,gross_profit_ytd,operating_profit_ytd,net_profit_ytd,ebitda_ytd,gross_margin,operating_margin,net_margin,ebitda_margin,net_sales_ytd_yoy,net_profit_ytd_yoy,ebitda_ytd_yoy,deflator,cpi_index,net_sales_ttm,net_sales_ttm_real,total_assets
2023Q2,BIZIM,Bizim Toptan,20444024161.0,1957454532.0,-947697475.0,-118727534.0,-497367045.0,9.574702693485044,-4.635572074933628,-0.580744441823202,-2.4328236020616782,271.98517743877966,-293.1392073446544,-327.3224553291033,2.599799525933457,3.430224292512036,46885813463.0,121893715614.11191,4873460104.0
2023Q3,BIZIM,Bizim Toptan,33941367508.0,3121460634.0,-1637028694.0,202989927.0,-885232218.0,9.196626014742245,-4.823107653556243,0.5980605435304136,-2.6081218377289903,263.2409267671486,120.4214001751362,-365.31957225267934,2.0779085547065246,4.291765135341938,56535043967.0,117474651499.73878,5677369478.0
2023Q4,BIZIM,Bizim Toptan,46522093733.0,4557179261.0,-2201527595.0,108024287.0,-1089057785.0,9.795731222147056,-4.732219507649475,0.23219996851382899,-2.3409474888433217,45.665072194674636,-85.33292652398326,162.65586245732226,1.8898254981904177,4.718898913184025,46522093733.0,87918638965.82803,13377373887.0
2024Q1,BIZIM,Bizim Toptan,10895794590.0,1404178050.0,-872475420.0,-310878320.0,-517116045.0,12.88733959144874,-8.007451065576667,-2.853195491454286,-4.746014994396108,8.7511432795494,-398.665872474517,10.837289533087358,1.6424985735408877,5.429469244708736,47398872190.0,77852579959.52185,10667729224.0
2024Q2,BIZIM,Bizim Toptan,22839321012.0,2820589502.0,-1948739334.0,-834801285.0,-1231407706.0,12.349708209442982,-8.532387337504971,-3.655105528581114,-5.391612584949467,11.71636675899348,603.1235778888492,147.58530312357144,1.5151314214389107,5.885889080862009,48917390584.0,74116275528.6183,10542285994.0
2024Q3,BIZIM,Bizim Toptan,36251980515.0,4646624143.0,-2886097770.0,-1310794613.0,-1710202328.0,12.8175732111446,-7.961214060583028,-3.6157875911293504,-4.717541783109943,6.807660317326314,-745.743674266162,93.19250849950424,1.391031384219276,6.410995172854016,48832706740.0,67927827651.71617,10498209124.0
2024Q4,BIZIM,Bizim Toptan,50026481453.0,6834722089.0,-3514005498.0,-2228888579.0,-1849200275.0,13.662208275473537,-7.024290727504826,-4.455417439449636,-3.696442806471065,7.5327386168653865,-2163.321722271585,69.79817788089177,1.308985329475488,6.812830738975226,50026481453.0,65483930307.2546,15169609675.0
2025Q1,BIZIM,Bizim Toptan,11486674082.0,1881027225.0,-652033063.0,-354928979.0,-200230293.0,16.375734277580246,-5.676430430125614,-3.0899194707385798,-1.7431529054503907,5.423005060524,14.16974300427254,-61.27942752192113,1.1893750016274602,7.497967821179674,50617360945.0,60203023756.33712,12151385202.0
2025Q2,BIZIM,Bizim Toptan,18022326819.0,2949865565.0,-1182557225.0,-751736549.0,-434334902.0,16.36783970585924,-6.561623462256224,-4.171140366889159,-2.4099823866366874,-21.090794207363274,-9.950240553355162,-64.72858665056948,1.1219609689505292,7.948489953139749,45209487260.0,50723280131.986206,12105734064.0
2025Q3,BIZIM,Bizim Toptan,28759927015.0,4781003159.0,-1621590505.0,-858485176.0,-423743006.0,16.623836202735927,-5.638367942151747,-2.9850047100336843,-1.4733799768650073,-20.66660467529494,-34.506507160935364,-75.22263892041667,1.043628204465,8.54508861619914,42534427953.0,44390128672.53529,12669068490.0
2025Q4,BIZIM,Bizim Toptan,43367848066.0,7237173567.0,-2259422878.0,-906285328.0,-398638789.0,16.68787797814178,-5.209903139674958,-2.089763196506214,-0.9192035269846124,-13.31021729612506,-59.33913715836757,-78.44263845353365,1.0,8.91789548951822,43367848066.0,43367848066.0,13272080159.0
2021Q1,MGROS,Migros,7689091000.0,2122254000.0,257501000.0,209510000.0,467472000.0,27.60084384487061,3.348913415122802,2.7247694168270344,6.079678339091058,21.13388735926367,-258.8797803847816,6.985728278879866,6.711140194942744,1.3288197281645824,30131684000.0,202217955633.71317,14476200000.0
2021Q2,MGROS,Migros,16104112000.0,3924317000.0,502472000.0,211269000.0,934686000.0,24.368415967300773,3.120147202155574,1.311894750856179,5.804020737063925,21.507362899617544,-176.462519543691,7.242013522769897,6.417531697820498,1.389614560462068,31640692000.0,203055143850.97543,14960254000.0
2021Q3,MGROS,Migros,25920827000.0,6332539000.0,976039000.0,367231000.0,1643386000.0,24.430312350759486,3.765462421395737,1.4167410630841368,6.340021481567698,24.242118498275133,-232.0319409789385,15.493589257050978,6.157269341166413,1.4483523450719866,33847861000.0,208410396799.3623,16224773000.0
2021Q4,MGROS,Migros,36272243000.0,8754503000.0,708396000.0,358881000.0,1615581000.0,24.135543533935852,1.9529975028012465,0.9894094500855655,4.45404217213697,25.98820292606614,-189.06362839962378,-13.929141476242336,5.1150093943262815,1.743475876976924,36272243000.0,185532863698.2857,18100325000.0
2022Q1,MGROS,Migros,12271397000.0,3132592000.0,366077000.0,158587000.0,618623000.0,25.52759070544291,2.9831729834834615,1.292330449418269,5.041178278235151,59.59489879883071,-24.30576106152451,32.33370126980868,4.165257823313482,2.141018843924526,40854549000.0,170169729840.194,20609200000.0
2022Q2,MGROS,Migros,28234765000.0,7174215000.0,1140832000.0,602807000.0,1672945000.0,25.409154281964096,4.040522384372599,2.1349814669964493,5.925124576032419,75.32643215596116,185.3267635100275,78.9847071636892,3.593430564923052,2.4817219446423846,48402896000.0,173932445917.19174,23964698000.0
2022Q3,MGROS,Migros,50053890000.0,12523595000.0,2320524000.0,1414801000.0,3169325000.0,25.020223203431343,4.636051263947717,2.8265555384406684,6.331825558413143,93.1029824009859,285.26186514755017,92.85335277287258,3.3563503371489034,2.657021643662397,60405306000.0,202741369158.68268,28445057000.0
2022Q4,MGROS,Migros,140480068000.0,26269736000.0,-4822645000.0,9155534000.0,-77269000.0,18.699973863907868,-3.4329745626262085,6.517318883985734,-0.05500353260079572,287.29357872905734,2451.133662690418,-104.78273760337613,3.1141067440387884,2.8637089934663913,140480068000.0,437469927161.8276,81620198000.0
2023Q1,MGROS,Migros,50924225000.0,10083988000.0,-1293044000.0,2612046000.0,374872000.0,19.8019469122996,-2.5391530258928827,5.1292798270371325,0.7361368778808122,314.98311072488326,1547.0744764703288,-39.40218840877239,2.7673890892301944,3.222494272389761,179132896000.0,495730421912.6071,40343760000.0
2023Q2,MGROS,Migros,109039840000.0,21748801000.0,-1749072000.0,5409927000.0,1718998000.0,19.9457381815674,-1.604066917192835,4.9614223571861436,1.576486172393503,286.1900037064236,797.4559021378319,2.7528101641117964,2.599799525933457,3.430224292512036,221285143000.0,575297009867.5173,46828036000.0
2023Q3,MGROS,Migros,184998227000.0,35356791000.0,-4484363000.0,10952977000.0,1518811000.0,19.111962083831212,-2.424003231122858,5.920584849713181,0.8209867870787757,269.5981011665627,674.1708551237948,-52.07777681367484,2.0779085547065246,4.291765135341938,275424405000.0,572306727324.4545,55994562000.0
2023Q4,MGROS,Migros,262132403000.0,48962215000.0,-9637873000.0,12857520000.0,-704072000.0,18.67842908379396,-3.6767194325075483,4.90497162992856,-0.26859403566372525,86.59757696017061,40.43440830431082,811.195951804734,1.8898254981904177,4.718898913184025,262132403000.0,495384499091.32635,133015623000.0
2024Q1,MGROS,Migros,72318474000.0,14629479000.0,-4529826000.0,1748445000.0,-2002593000.0,20.22924183936735,-6.263719004911525,2.4177017341378084,-2.769130609697323,42.01192850750306,-33.062243161108185,-634.2071427047099,1.6424985735408877,5.429469244708736,283526652000.0,465692121470.82367,105494545000.0
2024Q2,MGROS,Migros,163434121000.0,35384518000.0,-7809459000.0,2676756000.0,-2399108000.0,21.65063071499005,-4.77835286304749,1.6378195591115272,-1.4679358173927464,49.88477697692879,-50.52140259933267,-239.5643275908407,1.5151314214389107,5.885889080862009,316526684000.0,479579524652.2649,118477553000.0
2024Q3,MGROS,Migros,274985203000.0,62284288000.0,-8953417000.0,7287399000.0,-120360000.0,22.650050737457317,-3.2559631944995964,2.650105867696452,-0.043769627851575704,48.64207482377656,-33.466499564456306,-107.92461998234144,1.391031384219276,6.410995172854016,352119379000.0,489809107180.8019,135172947000.0
2024Q4,MGROS,Migros,384535043702.0,89011695962.0,-12403010211.0,8604849914.0,656779747.0,23.147876226069183,-3.2254564087563007,2.2377284086150624,0.17079841168103765,46.69496761985583,-33.07535268076581,-193.28303738822166,1.308985329475488,6.812830738975226,384535043702.0,503350730875.13367,196415566505.0
2025Q1,MGROS,Migros,102645969000.0,24886826000.0,-3969209000.0,1350012000.0,157299000.0,24.245302803853896,-3.8668922303222644,1.3152119008199923,0.15324420581971418,41.936027300576065,-22.787848631212306,-107.85476629549788,1.1893750016274602,7.497967821179674,414862538702.0,493427132643.8635,162405226000.0
2025Q2,MGROS,Migros,174844068000.0,42036181000.0,-6434878000.0,1467356000.0,334473000.0,24.042097327545594,-3.680352484134606,0.8392369365370748,0.19129788263677325,6.981373858889595,-45.181555584446244,-113.94155661187409,1.1219609689505292,7.948489953139749,395944990702.0,444234825419.1242,178933781000.0
2025Q3,MGROS,Migros,294847578000.0,72047061000.0,-6149562000.0,5610584000.0,5177284000.0,24.435357919066917,-2.08567492455373,1.902876068393548,1.7559187818731208,7.223070471904625,-23.00978716823382,-4401.498836822865,1.043628204465,8.54508861619914,404397418702.0,422040551970.2491,195397660000.0
2025Q4,MGROS,Migros,454197869640.0,110421877958.0,-9081179341.0,7475615155.0,8602362656.0,24.311403760110338,-1.9993883608916525,1.6458939274473519,1.8939680766927165,18.116118954293814,-13.123235969086998,1209.7789167972014,1.0,8.91789548951822,454197869640.0,454197869640.0,230625793194.0
